Date,Power_from_gas_engine,Daily_NEA,Total_Power,Total_power_per_ML,Raw_sew_flow,Raw_sew_com_pH,Raw_sew_com_BOD,Raw_sew_com_COD,Raw_sew_com_TSS,Raw_sew_com_N,Raw_sew_com_OG,Raw_sew_pH,Raw_sew_BOD,Raw_sew_COD,Raw_sew_TSS,Raw_sew_TP,Raw_sew_TColi,Raw_sew_FColi,Grit_TSS,PST_pH,PST_TSS,PST_BOD,PST_COD,PST_Sludge,SC_pH,SC_TSS,SC_BOD,SC_COD,SC_RAS,SST_pH,SST_TSS,SST_BOD,SST_CODRaw_sew,SST_RAS,CCT_com_pH,CCT_com_BOD,CCT_com_COD,CCT_com_TSS,CCT_com_OG,CCT_com_N,CCT_pH,CCT_BOD,CCT_COD,CCT_TSS,CCT_TColi,CCT_FColi,CCT_FRC,Existing_AT_pH,Existing_AT_DO,Existing_AT_MLSS,Existing_AT_MLVSS,Existing_AT_SV30,Existing_AT_SVI,New_AT_pH,New_AT_DO,New_AT_MLSS,New_AT_MLVSS,New_AT_SV30,New_AT_SVI
2023-01-01,1.3,10.93,12.23,630.737493553378,19.39,7.01,419.5,679.0,470.0,75.6,85.0,7.04,449.0,749.0,495.0,,56000000.0,35000000.0,590.0,6.92,470.0,389.0,549.0,272.0,6.75,19.0,12.8,45.0,9660.0,6.81,16.0,12.2,63.0,11710.0,7.3,9.4,56.0,13.3,5.0,14.0,7.01,8.3,42.0,12.6,660.0,370.0,0.2,6.655,1.015,5455.0,3395.0,630.0,114.97101429782,6.72,1.215,6430.0,3875.0,795.0,124.156927604616
2023-01-02,1.1,12.34,13.44,678.308266882003,19.814,7.14,494.0,581.0,520.0,72.8,43.0,7.39,569.5,773.0,665.0,,48000000.0,23000000.0,790.0,7.13,1685.0,404.5,504.0,269.0,6.98,20.0,16.3,59.0,8800.0,7.0,23.0,15.7,52.0,11210.0,7.15,9.2,63.0,12.3,3.5,16.8,7.19,9.1,49.0,14.0,880.0,450.0,0.5,7.535,1.015,6145.0,3845.0,690.0,111.946944877382,7.46,0.825,7015.0,4205.0,825.0,117.980378890392
2023-01-03,1.3,11.19,12.49,723.428902403707,17.265,7.0,434.1,679.0,510.0,86.8,106.0,7.06,509.0,658.0,610.0,,58000000.0,11000000.0,650.0,7.02,1230.0,464.0,553.0,247.0,6.79,25.0,18.2,84.0,9170.0,6.82,16.0,12.8,77.0,15620.0,7.35,9.0,52.0,12.0,9.0,14.0,7.02,7.4,56.0,14.6,900.0,220.0,0.5,6.595,1.005,6105.0,3480.0,635.0,102.516049874345,6.695,0.99,7320.0,4215.0,835.0,114.499217600705
2023-01-04,1.2,10.61,11.81,696.755162241888,16.95,7.01,359.0,861.0,370.0,47.6,69.0,7.24,449.1,780.0,580.0,,69000000.0,31000000.0,425.0,7.05,720.0,524.1,430.0,272.0,7.01,22.0,16.5,91.0,6770.0,7.03,24.0,16.5,98.0,8180.0,7.35,7.7,59.0,11.67,8.5,19.6,7.15,9.6,56.0,11.0,970.0,550.0,0.2,6.675,0.93,5880.0,3705.0,705.0,120.905425466812,6.865,0.85,7325.0,4965.0,870.0,118.85199964132
2023-01-05,1.3,11.12,12.42,711.95184866724,17.445,6.89,373.7,780.0,575.0,53.4,76.0,7.3,494.0,857.0,515.0,,52000000.0,29000000.0,705.0,7.2,330.0,299.0,318.0,263.0,7.15,20.0,15.8,63.0,9010.0,7.12,26.0,17.0,87.0,7830.0,7.73,9.8,56.0,13.0,5.5,22.4,7.34,6.5,38.0,12.4,910.0,470.0,0.2,6.785,0.69,6055.0,3895.0,875.0,144.093321744644,6.95,0.57,7545.0,4915.0,870.0,115.339808895933
2023-01-06,1.3,12.53,13.83,718.478882019845,19.249,7.03,509.2,784.0,530.0,64.4,46.5,6.66,538.7,707.0,640.0,,44000000.0,17000000.0,455.0,7.1,1665.0,358.7,672.0,288.0,7.1,24.0,17.9,80.0,9720.0,7.15,23.0,14.3,80.0,7970.0,7.42,6.7,66.0,9.6,5.5,22.4,7.12,9.2,63.0,14.0,890.0,210.0,0.2,7.035,0.565,6015.0,4080.0,735.0,121.933621933622,6.99,1.225,7045.0,4780.0,885.0,125.634282489974
2023-01-07,1.4,14.62,16.02,902.077819697055,17.759,7.29,539.1,679.0,665.0,58.0,43.5,6.91,614.2,899.0,825.0,,51000000.0,21000000.0,715.0,6.99,655.0,464.2,654.0,386.0,6.99,9.0,7.6,73.0,10340.0,7.09,12.0,9.4,91.0,15620.0,7.03,6.3,42.0,8.3,5.0,10.0,7.21,6.4,49.0,7.0,770.0,180.0,0.5,7.08,0.9,5890.0,3655.0,805.0,136.610816530718,6.935,0.865,6625.0,4095.0,825.0,124.5528084767
2023-01-08,0.8,15.29,16.09,923.226991048887,17.428,7.05,509.0,791.0,580.0,52.0,63.5,7.53,569.1,787.0,670.0,,42000000.0,10000000.0,415.0,7.49,1080.0,449.1,560.0,370.0,6.43,13.0,11.1,66.0,9660.0,6.51,16.0,11.7,80.0,14570.0,6.88,7.1,56.0,8.7,6.5,8.0,6.4,6.3,49.0,7.0,640.0,,0.5,6.94,1.1,6050.0,3980.0,820.0,135.54,6.745,1.155,6865.0,4340.0,850.0,123.926967986374
2023-01-09,2.0,15.22,17.22,996.009023078258,17.289,7.19,449.3,650.0,550.0,82.0,66.5,7.27,479.0,801.0,510.0,,58000000.0,23000000.0,420.0,7.24,245.0,239.0,462.0,268.0,6.34,15.0,12.2,63.0,7530.0,6.26,26.0,15.2,56.0,11220.0,6.94,6.8,74.0,8.0,4.5,10.0,6.47,7.1,49.0,9.6,560.0,200.0,0.5,6.41,1.04,6170.0,3635.0,825.0,133.731443710837,6.485,1.06,6780.0,3730.0,820.0,120.991139339763
2023-01-10,1.6,11.15,12.75,900.423728813559,14.16,7.04,509.0,819.0,520.0,108.0,58.5,7.15,524.3,759.0,660.0,,46000000.0,11000000.0,520.0,7.11,960.0,344.3,458.0,280.0,6.54,15.0,11.9,70.0,10160.0,6.69,24.0,13.7,80.0,15420.0,7.11,7.7,56.0,9.4,3.5,24.0,6.81,7.1,66.0,9.6,,,0.2,6.73,1.025,6150.0,3725.0,860.0,140.295874338428,6.465,1.065,6740.0,4135.0,800.0,119.552127505648
